epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,627.935,0.33331,0.89864,0.99906,0.35006,0.000333244,0.000333244,0.0670088
2,1222.3,0.19747,0.93518,0.99981,0.25654,0.00065008,0.00065008,0.0339923
3,1494.96,0.15741,0.94638,0.99987,0.20803,0.000950416,0.000950416,0.000959304
4,1727.51,0.14057,0.95001,0.99987,0.19975,0.00092575,0.00092575,0.00092575
5,1987.76,0.12503,0.95589,1,0.17998,0.000901,0.000901,0.000901
6,2306.26,0.11367,0.9597,0.99994,0.1677,0.00087625,0.00087625,0.00087625
7,2697.71,0.106,0.96177,0.99994,0.16037,0.0008515,0.0008515,0.0008515
8,2970.84,0.09828,0.96258,0.99987,0.15788,0.00082675,0.00082675,0.00082675
9,3273.99,0.09225,0.96383,0.99987,0.15439,0.000802,0.000802,0.000802
10,3538.1,0.0866,0.96415,0.99994,0.15308,0.00077725,0.00077725,0.00077725
11,3832.98,0.08267,0.9634,0.99994,0.15165,0.0007525,0.0007525,0.0007525
12,4021.17,0.07995,0.96358,0.99994,0.15116,0.00072775,0.00072775,0.00072775
13,4253.08,0.07486,0.96402,0.99987,0.14973,0.000703,0.000703,0.000703
14,4465.8,0.07011,0.96459,0.99987,0.14721,0.00067825,0.00067825,0.00067825
15,4787.52,0.06797,0.9649,0.99987,0.14448,0.0006535,0.0006535,0.0006535
16,5015.33,0.0639,0.96527,0.99987,0.14251,0.00062875,0.00062875,0.00062875
17,5233.26,0.06207,0.9654,0.99987,0.14079,0.000604,0.000604,0.000604
18,5421.07,0.05888,0.96577,0.99994,0.13809,0.00057925,0.00057925,0.00057925
19,5636.58,0.05682,0.96634,0.99994,0.13698,0.0005545,0.0005545,0.0005545
20,5872.35,0.05368,0.96646,0.99994,0.135,0.00052975,0.00052975,0.00052975
21,6295.73,0.05188,0.96602,0.99994,0.13389,0.000505,0.000505,0.000505
22,6762.74,0.05072,0.96571,0.99987,0.13256,0.00048025,0.00048025,0.00048025
23,7028.52,0.04724,0.96652,0.99987,0.13002,0.0004555,0.0004555,0.0004555
24,7210.13,0.04637,0.96684,0.99987,0.12819,0.00043075,0.00043075,0.00043075
25,7384.2,0.04391,0.96753,0.99987,0.1259,0.000406,0.000406,0.000406
26,7583.48,0.04236,0.96771,0.99987,0.12431,0.00038125,0.00038125,0.00038125
27,7746.88,0.04137,0.9679,0.99987,0.12333,0.0003565,0.0003565,0.0003565
28,7950.51,0.039,0.96778,0.99987,0.12223,0.00033175,0.00033175,0.00033175
29,8171.59,0.03733,0.96815,0.99987,0.12044,0.000307,0.000307,0.000307
30,8372.09,0.03686,0.96778,0.99987,0.11917,0.00028225,0.00028225,0.00028225
31,8901.8,0.03543,0.96728,0.99987,0.11821,0.0002575,0.0002575,0.0002575
32,9348.36,0.03365,0.96803,0.99987,0.11682,0.00023275,0.00023275,0.00023275
33,9810.64,0.03208,0.9679,0.99987,0.11637,0.000208,0.000208,0.000208
34,10234.2,0.03057,0.9679,0.99994,0.11559,0.00018325,0.00018325,0.00018325
35,10687,0.03044,0.9674,0.99987,0.11466,0.0001585,0.0001585,0.0001585
36,11048,0.0282,0.96778,0.99987,0.11363,0.00013375,0.00013375,0.00013375
37,11279.7,0.02773,0.96815,0.99987,0.11301,0.000109,0.000109,0.000109
38,11527.8,0.02576,0.96809,0.99987,0.1122,8.425e-05,8.425e-05,8.425e-05
39,11735.6,0.02471,0.96803,0.99987,0.11161,5.95e-05,5.95e-05,5.95e-05
40,11970.8,0.02424,0.96809,0.99987,0.11102,3.475e-05,3.475e-05,3.475e-05
