epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,588.285,0.55508,0.88706,0.9995,0.33527,0.000332978,0.000332978,0.0670352
2,1101.97,0.30538,0.94093,1,0.17841,0.000615569,0.000615569,0.0339844
3,1615.55,0.25273,0.95201,1,0.14659,0.000847391,0.000847391,0.000882928
4,2152.85,0.22168,0.95501,0.99994,0.13631,0.000771538,0.000771538,0.000771538
5,2726.66,0.19344,0.95044,0.99994,0.15005,0.000695385,0.000695385,0.000695385
6,3247.18,0.17636,0.96096,1,0.12353,0.000619231,0.000619231,0.000619231
7,3746.02,0.15703,0.96427,0.99994,0.11674,0.000543077,0.000543077,0.000543077
8,4235.77,0.14214,0.96446,0.99987,0.11394,0.000466923,0.000466923,0.000466923
9,4742.6,0.13015,0.96527,0.99987,0.11281,0.000390769,0.000390769,0.000390769
10,5240.3,0.11869,0.96584,0.99987,0.10808,0.000314615,0.000314615,0.000314615
11,5767.32,0.10783,0.96646,0.99987,0.10678,0.000238462,0.000238462,0.000238462
12,6279.19,0.09637,0.96621,0.99994,0.10701,0.000162308,0.000162308,0.000162308
13,6784.88,0.08861,0.9659,0.99994,0.10673,8.61538e-05,8.61538e-05,8.61538e-05
