epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,111.146,0.88541,0.84995,0.99895,0.43846,0.0099906,0.0033302,0.0099906,0.0033302,0.0099906,0.0033302,0.0099906,0.0033302
2,160.31,0.4668,0.89664,1,0.29743,0.0198257,0.00660856,0.0198257,0.00660856,0.0198257,0.00660856,0.0198257,0.00660856
3,211.187,0.43432,0.86411,0.99843,0.41761,0.0294958,0.00983192,0.0294958,0.00983192,0.0294958,0.00983192,0.0294958,0.00983192
4,255.335,0.43399,0.88143,0.99948,0.32069,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
5,298.709,0.35143,0.91343,0.99948,0.26352,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
6,341.865,0.32379,0.91605,1,0.24149,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875,0.0287625,0.0095875
7,384.611,0.28508,0.9234,0.99948,0.2245,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
8,427.256,0.26705,0.9297,1,0.22357,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225,0.0282675,0.0094225
9,470.132,0.25106,0.93232,1,0.20409,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
10,512.904,0.24716,0.93179,1,0.22036,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
11,555.686,0.23072,0.93389,1,0.19728,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
12,599.065,0.22326,0.93179,1,0.21333,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925,0.0272775,0.0090925
13,642,0.216,0.93704,1,0.19505,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
14,689.633,0.21033,0.93389,1,0.20892,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275,0.0267825,0.0089275
15,746.591,0.19944,0.93704,1,0.18633,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
16,791.115,0.19525,0.93861,1,0.18945,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
17,843.899,0.18737,0.94281,0.99948,0.19814,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
18,890.379,0.17914,0.94439,1,0.17678,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975,0.0257925,0.0085975
19,936.877,0.17992,0.94596,1,0.16826,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
20,985.921,0.18107,0.94176,1,0.17353,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325,0.0252975,0.0084325
21,1034.91,0.17407,0.93966,1,0.18847,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
22,1084.69,0.16604,0.94911,1,0.15856,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
